text,label
"在家电产品选材上，海尔智家众多产品都采用低碳环保材料，不仅能降低碳排放，还能回收循环再利用。同时在产品的功能设计上，海尔智家更是兼顾功能与体验，推出“可以洗空气的空调”等一系列绿色、低碳新物种。同样，在绿色经营上，海尔智家拥有全球首个碳中和“灯塔基地”海尔中德智慧园区，一举奠定其在产业领跑者地位；此外，海尔莱西再循环互联工厂一期项目，每年以拆解200万台废旧家电、改性造粒3万吨等能力，成为家电回收拆解行业的先行者。

比如，海尔博观冰箱是行业首个低碳聚氨酯材料冰箱，聚氨酯是绿色可回收材料，与传统原料相比降低50%碳排放。最让行业没想到的是，等到冰箱使用生命周期结束后，海尔智家还会对其进行回收循环再利用，实现全程跟踪全面践行“双碳”战略；领跑世界的海尔磁悬浮中央空调原创磁悬浮离心技术，能为建筑节能提高50%，省电则达一半以上。海尔燃电混动热水器，通过在清洁能源方案和节能技术方面的创新，大幅减少二氧化碳排放。



作者：家电圈
链接：https://xueqiu.com/4582457192/227593256
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"LV日前发布三款全新LV Trainer鞋款，集创造力、可持续性与环保设计于一体，均采用90%可回收和生物面料制成，鞋面材料融合了可回收聚酯纤维与玉米基塑料，鞋带的材料则来自回收塑料，鞋舌同样采用可回收聚氨酯，鞋盒为100%可回收和可循环利用纸板。



作者：DoNews
链接：https://xueqiu.com/5133207869/225962487
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"根据共青团贵州省委统筹协调，华贵保险通过贵州省志愿者行动指导中心（贵州省青少年维权中心），向全省抗疫志愿者捐赠了团体意外伤害及意外伤害医疗保险。其中，意外伤害保险金（扩展新冠肺炎导致的身故责任），保险金额为10万元/人；意外伤害医疗保险金，保险金额为5000元/人。自贵阳本轮疫情发生以来，华贵保险全体党员干部员工积极贯彻省金融行业综合党委的倡议，勇担责任、主动作为，已有20多位党员干部、预备党员、入党积极分子参加了抗疫志愿者，奋战在抗疫一线。



作者：千家报
链接：https://xueqiu.com/7899695254/232226055
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"苹果向来以关注隐私著称，其首席执行官蒂姆·库克（Tim Cook）甚至宣称“隐私属于基本人权”。然而，苹果公司的许多员工抱怨称，他们的大量个人数据被鼓励存储在工作设备上，苹果却未能保护好“自己人的隐私”。
",0
"每经AI快讯，理工环科7月26日晚间发布公告称，公司拟于2021年内推出员工持股计划。在符合相关法律法规规定的前提下，本次员工持股计划所持有的公司股票总数累计不超过公司股本总额的6.19%，单一持有人持有的员工持股计划份额所对应的公司股票数量不超过公司股本总额的1%，员工持股计划的总规模预计不超过约2451万股。



作者：每日经济新闻
链接：https://xueqiu.com/4642157440/192116970
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"自设立以来，尚太科技一直高度重视环境保护问题，按照环保有关法律法规的要求，在生产过程中配备相应环保设施，建立健全环境保护处理和责任制度，以杜绝环境污染。尚太科技主要产品生产过程中会产生颗粒物、二氧化硫和氮氧化物等污染物，均按照国家有关规定进行集中处理后排放，符合国家环保的相关标准。



作者：大汪财经
链接：https://xueqiu.com/8653915216/229028588
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"此外，拼多多APP还被多次曝光涉嫌窃取用户通讯录，严重侵犯了用户隐私权。

在去年爆出员工猝死后，拼多多又被爆出喊话“用钱换命”的言论后，舆论口碑一时跌入谷底。



作者：郑荣南Zeke
链接：https://xueqiu.com/2684655177/210281666
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"日前，高露洁与公司技术研发团队共同推出的新型可回收牙膏用塑料薄膜项目顺利通过高露洁（全球）技术认证，这在永新股份（002014）与高露洁（全球）的战略合作上具有里程碑意义，也标志着高露洁与永新股份在绿色包装可持续发展的研发上迈上了新台阶。

　　作为高露洁（全球）的战略合作伙伴和卓越供应商，此次牙膏用薄膜可回收项目的成功验证，是双方战略互信的成果，更是高露洁与永新股份在全球绿色循环经济道路上携手共进的见证。未来，公司将和高露洁（全球）共同努力，立足“包装2025”战略，持续开发推广单一材质、可回收等环境友好型材料，推进柔性包装的设计应用，争当中国塑料软包装行业绿色可持续发展的领跑者。",1
"通用汽车与LG化学成立电池合资公司Ultium Cells以量产Ultium电池，提升其在美国新能源汽车市场所占份额。Ultium Cells将与Li-Cycle合作处理生产废料，预计在今年实现对电池生产过程中所产生的废料进行回收。



作者：车云网
链接：https://xueqiu.com/8770626514/179876775
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"近年来，中国江苏省家电行业中游镀锌钢材龙头企业康利国际控股有限公司(HKEX: 06890)在节水节能方面投入了大量资金。

在当前钢铁产品生产企业在生产过程中高能耗、高水耗不可避免的情况下，康利国际坚持加强硬件建设和软件更新。康利国际被评为江苏省节水示范企业。此外，康利国际是2021年常州市节能与循环经济发展专项资金的获得单位之一。



作者：金评媒
链接：https://xueqiu.com/4840637746/200841175
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"2021年12月23日，青岛森特建筑工程有限公司未取得夜间施工审批手续，在西海岸新区烟台路西侧、灵山湾路南侧处于结构施工阶段的绿城青岛文澜锦园项目工地2号楼负一层筏板进行混凝土浇筑施工作业，该工地西南侧为华清苑小区，执法人员对现场施工边界噪声进行了测量，测点1数据（场界东外1m,高度1.2m）为63.2分贝，测点2数据（场界西外1m，高度1.2m）为62.9分贝，测点3数据（场界南外1m，高度1.2m）为62.6分贝，测点4数据（场界北外1m，高度1.2m）为61.9分贝。该施工现场4个测点检测平均值为62.65分贝，造成扰民。



作者：青岛精选
链接：https://xueqiu.com/6679736674/218568983
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"当事人青岛盛世东鹏建设有限公司于2022年5月13日22时35分在珠江路（石油大学区域）联通工程项目夜间进行禁止的产生环境噪音污染的建筑施工作业，未得到相关部门审批手续。

     依据《青岛市环境噪声管理规定》第三十条：建筑施工单位违反第二十一条规定,在规定的区域内,夜间进行禁止的产生环境噪声污染的建筑施工作业的,由工程所在地生态环境主管部门责令改正,可以处以两千元以上五万元以下罚款。



作者：青岛精选
链接：https://xueqiu.com/6679736674/222558184
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"环清环境成立于2017年，公司总部位于国家双创基地。公司首席专家是清华大学能源与动力工程系资源环境研究组负责人张衍国教授。张教授带领其研究团队成功开发出符合我国国情的农村多种污染源处理技术，该技术实现农村生活垃圾及农林废弃物的能源化与资源化利用。



作者：35斗
链接：https://xueqiu.com/5447970037/229008951
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"为持续深化绿色金融改革创新实践，助力夯实绿色金融基础设施建设，加快构建绿色金融科技生态，2021年12月2日，重庆银行（601963.SH，01963.HK）上线绿色金融管理系统，运用大数据、人工智能等金融科技手段赋能绿色发展。



作者：证券市场周刊
链接：https://xueqiu.com/7955260278/204958928
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"拟使用自有资金以集中竞价交易方式回购部分社会公众股股份，用于实施公司员工持股计划或股权激励，以此进一步完善公司治理结构，构建管理团队持股的长期激励与约束机制，确保公司长期经营目标的实现，推动全体股东的利益一致与收益共享，提升公司整体价值。

作者：加力投资
链接：https://xueqiu.com/6483412330/186220630
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"在6月5日环境日到来之际，山西焦煤（000983）向全体干部职工发出“保护生态环境 减少塑料污染”的倡议，引导广大干部职工强化生态环保意识，积极应对塑料污染，保护职工健康。

作者：山西焦煤(SZ000983)
链接：https://xueqiu.com/S/SZ000983/181804610
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
" 作为国内最早布局建设电子废弃物循环利用与高值化利用产业链的企业之一。2007年，格林美开始启动电子废弃物循环利用关键技术研究与产业化。去年以来，格林美已着手布局分拆格林循环上市的计划。

作者：爱集微APP
链接：https://xueqiu.com/9983210953/192114624
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"2022年中央一号文件明确指出“严格控制以玉米为原料的燃料乙醇加工”，这是2017年国家提出“适度发展粮食燃料乙醇”之后的政策调整。也就是说，目前不能以玉米用来做原料了，但是可以用玉米的杆和叶子等废弃的农业产品作为能源来源，这个如果能够实现的话，那么在生物产品转化为油品的过程中，真正达到了变废为宝。公司经过多年试验，开发了国际一流的全套纤维素乙醇技术方案，整体工艺顺畅，技术瓶颈攻克，获得62项专利授权，并完成了5万吨级示范装置工艺包编制，基本具备了产业化技术条件。同时中粮科技还在寻找木薯等作为玉米的替代品，具体根据大宗 商品的价格而定。


作者：牧狼人人人
链接：https://xueqiu.com/7257288517/218957881
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"东利机械（301298.SZ）6月15日在投资者互动平台表示，公司倡导绿色制造、循环经济理念，高度重视环境保护工作，严格贯彻执行国家和地方有关环境保护的法律法规，持续完善各项环境保护制度，导入并实施了ISO14001:2015环境管理体系，并严格有效执行。公司逐年增加环境保护投入，购置、新建及升级改造环保设备，建立起先进的绿色制造体系。公司拥有完整的产业链，机加工产生的废铁屑、废钢屑将循环用作铸造材料，经重新配比并熔炼后铸造形成新的毛坯，减少了原材料的浪费。山东阿诺达采用的电泳涂装属于环保涂装工艺，电泳涂装生产中所产生的再生水无电泳漆残留，可以循环用作铸造用水，进一步节省了水资源。此外，公司铸造生产采用错峰生产的政策，避开用电高峰期，大幅减少电力成本。公司一直奉行“智能制造、绿色制造、柔性制造”

作者：每日经济新闻
链接：https://xueqiu.com/4642157440/222728102
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"现场督察发现，西藏开投海通水泥有限公司(以下简称海通水泥)野蛮施工，采区和矿区道路两旁废渣弃土大量顺坡倾倒，导致矿区形成大面积高陡边坡，且未落实矿区生态修复措施，生态破坏十分严重。

作者：中国网财经
链接：https://xueqiu.com/9293278021/216196032
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"天鹅洲保护区是中国最大的江豚迁地保护中心，保护区内江豚数量由90年代的5头增长到2021年的101头。在2021年年初，联想集团团队去到保护区参观，了解到保护区喜人成果背后辛勤的付出。经过与保护区工作人员的沟通交流，团队发现联想集团新IT技术架构能够满足保护区提高数据管理效率的需求，并让数据释放出更大的价值。2021年6月，联想集团与天鹅洲保护区正式达成战略合作，为其量身定制一套江豚智能保护系统。作为架构师的赵庆发挥所长担任项目设计工作，从搭建本地数据中心，到建立统一数据管理平台，最后与智慧化大屏联通实现数据可视化。这套智慧生态保护解决方案推动了保护区生态保护工作的数字化，并有望通过进一步数据积累实现智能化。

作者：五小牛调研
链接：https://xueqiu.com/9158060429/231841150
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"《四川省饮用水水源保护管理条例》规定，地表水饮用水水源准保护区内，禁止非更新性、非抚育性采伐和破坏饮用水水源涵养林、护岸林和其他植被。但督察发现，2018年以来，四川省林业和草原局违规为有关房地产项目办理林地使用手续，导致黑龙滩饮用水水源准保护区342.56亩林地被侵占，其中防护林63.45亩。同时，由于监督管理不到位，2018年以来，黑龙滩流域内还发生88件破坏林地案件，涉及林地面积761.58亩，其中防护林56.80亩。现场看到，黑龙滩水库北部及西北部区域大量植被遭到毁坏，原有林木已被成片高楼和洋房取代，水源涵养功能基本丧失，影响了黑龙滩水库生态系统的原真性和完整性。

　　此外，根据四川省人民政府批准的《四川省黑龙滩生态环境保护试点总体实施方案》，眉山市应于2017年年底前建成生态环境保护工程项目53项。截至本批督察时仍有8个项目未完成甚至未实施，其中应建设的4000亩生态涵养林只完成了192亩，仅占4.8%。",0
"据了解，浦发银行已连续14年开展志愿者日活动。作为首家发布企业社会责任报告的股份制商业银行，浦发银行不仅积极为长三角一体化发展助力，还高度重视社会经济的和谐发展。自合肥分行成立以来，浦发在服务区域实体经济发展的同时，开展了多项爱心公益活动。从“春蕾计划”到“灾区捐助”，从“公益健康跑”到“我们减塑 给地球减负”，合肥分行积极传递爱心，用脚步幻化成力量，为留守儿童打造温馨家园，为冬奥碳汇林送去绿色，为城市建设者带去温暖，为残障少年描绘美好蓝图。尤其在疫情期间，浦发还为市民开辟线上口罩预约登记通道，积极投身社区服务，努力成为传播爱与责任的美丽使者。

作者：财今
链接：https://xueqiu.com/1827022045/168513460
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"当代建筑的建造范式开始从标准化走向人性化、绿色化。东方雨虹作为建筑建材系统服务商，从环保材料研发、生产制造、系统解决方案以及施工装备去升级，围绕建筑防水、民用建材、建筑涂料、砂浆粉料、节能保温、建筑修缮、非织造布、特种薄膜等领域，打造绿色建筑的内核。



作者：证券市场红周刊
链接：https://xueqiu.com/2994748381/221813828
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"“我们通过实施工业园区水资源综合利用项目，经过循环处理的中水，全部用于企业生产，在共建清洁美丽家园中蹚出了可复制路径。”近日，宁夏水投中卫水务有限公司中水厂负责人李佩霖介绍。

作者：黄河水(NQ836847)
链接：https://xueqiu.com/S/NQ836847/223734863
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"1月20日消息，近日，网传Boss直聘《2022年春节放假通知及疫情防控要求》截图，图片显示，Boss直聘要求除结婚、怀孕等特殊情况外，全体员工一律留于工作地过年。“未经审批离开工作地造成安全隐患，违反防疫要求的，视为违纪，根据情节严重程度处理”。



作者：鞭牛士
链接：https://xueqiu.com/5896727566/209556740
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",0
"9月8日上午，长虹美菱旗下美菱生物医疗公司与安徽省疾病预防控制中心举行了中心设备换新升级交付仪式。作为免费升级方，美菱生物医疗主动为安徽省疾病预防中心升级了8台老旧设备，确保安徽疾控中心更好地实现疾病预防的科学研究工作。

作者：连讯社
链接：https://xueqiu.com/4381768161/230687216
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"2.1万千瓦的规模，每年碳减排超过6万吨，如果未来能够跟海上风电，跟潮汐能结合，最终目标实现零碳排放。

未来的元宇宙的推广离不开庞大的数据中心的支持，海兰信给数据中心提供了新方案。



作者：悟道的可
链接：https://xueqiu.com/1651958071/203356986
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"为进一步加快绿色金融改革创新，聚力我国“3060”双碳战略，中国建设银行新余市分行坚守绿色生态底色，积极探索开发绿色转型金融产品，在江西省首推低碳转型挂钩创新贷款，协同推进钢铁企业降碳、减污、扩绿、增长，为企业转型升级提供综合性金融服务，将绿色金融打造成高质量发展新引擎。



作者：我爱冰天雪地
链接：https://xueqiu.com/3535626685/232238951
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"自2019年洋河$洋河股份(SZ002304)$ 公布员工激励计划，至今将近两年。7月15日下午，洋河终于公告了核心骨干的持股计划，当天的股票收盘价为195.85元。本持股计划购买回购股份的价格为公司回购股份均价，为 103.73 元/股。本持股计划的参与对象为公司董事（不含独立董事）、监事、高级管理人员，以及公司及全资子公司经董事会认定对公司整体业绩和中长期发展具有重要作用的中层及以上人员和核心骨干，参与本持股计划人员总数共计不超过5,100 人。



作者：云帆去哪
链接：https://xueqiu.com/5384094460/190619362
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"在全球温室效应加剧的背景下，欧盟法律规定，家用电器制冷剂的全球变暖潜能值（GWP）必须逐年下降。R32是一种环保型制冷剂，极大地帮助了碳减排，从而缓解了温室效应。在本次展会上，格力展示了R32系列产品，涵盖壁挂式分体式空调、自由火柴&amp-U-Match以及多功能热水器。

作者：泉州李国彬
链接：https://xueqiu.com/8995599040/232230784
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"《晚点 LatePost》独家获悉，腾讯正在对全集团的人才管理制度进行改革，改革方向包括：简化绩效考核、下放晋升权力与强化干部管理。

这也是腾讯继 2019 年 “专业职级体系” 调整后再一次针对人才管理进行的调整。



作者：晚点LatePost
链接：https://xueqiu.com/1786904335/222207678
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"龙光集团在2019年持续提升绿色建筑比例，建造海绵城市，并加入多种环保节能及减排设计，助力适应气候变化。并在土地储备中采用绿色设计的项目达103个。

“海绵城市”就是龙光集团践行绿色生态理念，应用新技术的典型案例。



作者：智芝全研究
链接：https://xueqiu.com/8908850657/212775696
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"经新浪金融研究院统计部分A股上市银行、上市险企高管信息可见，这一观点并非空谈。在255名上市银行、保险高管之中，女性高管仅为19人，约占被统计高管数量的7%。

统计发现，这19名女性高管普遍拥有博士、硕士的高学历水平。观其履历可以发现，这些女性高管多有负责内审、计财、运营等中后台条线的经验或仍在从事相关管理，也有部分女性高管在资负、金融科技等行业前沿深耕打拼



作者：新浪金融研究院
链接：https://xueqiu.com/6125946567/147693735
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"穆迪不断扩展其针对LGBTQ+群体包容性和平等性的政策、计划和活动，在2021年发布了首份《多元、公平和包容性报告》和一份《人权声明》。穆迪公司还继续与赫特里克-马丁研究所(Hetrick-Martin Institute)合作开展“Queer Coders项目，以帮助美国LGBTQ+青少年培养编程技能。



作者：国际文传
链接：https://xueqiu.com/5280991039/210388919
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"除国有资本和经销商看好金徽酒，积极参与本次非公开发行股票外，公司员工对参与本次非公开发行亦是热情高涨。公告显示，金徽酒股份有限公司第一期员工持股计划认购了本次非公开发行股票，持有公司492.86万股股份，占本次发行股份的18.81%。这并不是公司第一次实施员工层面持股，早在金徽酒IPO之前，就通过陇南众惠投资管理中心（有限合伙）、陇南乾惠投资管理中心（有限合伙）实现了公司高级管理人员、中层管理人员、核心技术人员和销售骨干的持股，两者合计持有公司8.88%的股份。通过员工持股，使员工除了享受薪资福利之外，还可以获得股利分红，更多的员工一起享受公司发展成果，提升员工积极性，把公司的发展和个人规划结合起来，共同进步，共同成长。

据悉，金徽酒历来注重关爱员工工作，致力于让金徽员工成为受社会尊重的劳动者，多年来始终坚持实行全员免费就餐、免费住宿、免费体检、全额购买“五险一金”，打通内部晋升渠道，发放生日礼金、结婚礼金、长者慰问金、节假日福利等一系列关爱员工举措，成为西北地区员工福利待遇最好的企业之一



",1
"美股研究社获悉，据人民咨询消息，近日 $百盛集团(03368)$  为员工健康保驾护航，百盛中国为近万名餐厅经理购买医疗险控股有限公司在2021年餐厅经理线上年会上宣布，公司将重磅加码员工福利计划，为近10000名餐厅经理购买百万医疗险，同时全面提升他们家人的重疾保额至20万。



作者：美股研究社
链接：https://xueqiu.com/3582153332/204424960
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"2016年，龙光专门发起成立“龙光慈善基金会”，在捐资助学、乡村振兴、抗疫救灾、产业扶贫、环境保护、社区服务等领域持续发力，赋能乡村振兴，助力共同富裕。

到目前为止，龙光联合龙光慈善基金会，累计开展公益项目560余个，公益足迹遍及全国9省38县区，累计捐赠10亿元，义工服务时间超过5000+小时，义工累计参与超过2000+人次，累计捐助人名币超过2100+万元，实现了良好的社会效益，荣获“中华慈善突出贡献奖”、“全国慈善会基层慈善爱心企业”、“年度扶贫典范奖”等荣誉。



作者：智芝全研究
链接：https://xueqiu.com/8908850657/212775696
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
"作为业内最早走上“绿色金融”道路的金融机构，兴证国际积极响应国家碳减排的重大决策部署，致力于绿色融资工具的推广和创新。早在2018年兴证国际就首次承销了境外绿色金融债券。其持续致力于为绿色环保领域的发展提供支持，不断助力实现“碳中和”、“碳达峰”的国家战略重大目标，推动内地及香港经济高质量发展。

作者：格隆汇
链接：https://xueqiu.com/1333325987/231674020
来源：雪球
著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。
风险提示：本文所提到的观点仅代表个人的意见，所涉及标的不作推荐，据此买卖，风险自负。",1
